Monat;Budget;Google Ads;Microsoft Ads;LinkedIn;Meta;Messen;Content;Werbemittel;Tools
Januar;22000;13500;1800;1200;650;2500;1200;600;550
Februar;22000;13500;1800;1200;650;2500;1200;600;550
März;28000;17000;2000;1500;700;4000;1500;700;600
April;25000;15500;1900;1300;700;3000;1400;650;550
Mai;30000;18000;2200;1600;800;4500;1600;700;600
Juni;25000;15500;1900;1300;700;3000;1400;650;550
Juli;22000;14000;1800;1200;650;2000;1200;600;550
August;20000;13000;1600;1100;600;1500;1100;550;550
September;28000;17000;2000;1500;700;4000;1500;700;600
Oktober;30000;18000;2200;1600;800;4500;1600;700;600
November;28000;17000;2000;1500;700;4000;1500;700;600
Dezember;20000;13000;1600;1100;600;1500;1100;550;550
GESAMT;300000;185000;22000;15000;8000;35000;15000;8000;12000
