Campaign performance
"January 1, 2023 - December 31, 2025"
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
BK-PerformanceMax-Leads-NL,Enabled,Performance Max,"155,798","6,733,522",2.31%,EUR,0.31,47936.57,0,0,186.00,0,257.72,0.04%
BK-PerformanceMax-Leads-D,Enabled,Performance Max,"72,605","23,637,359",0.31%,EUR,0.52,37500.91,0,0,333.94,1,112.30,0.10%
BK-PerformanceMax-Leads-IT,Paused,Performance Max,"37,539","2,800,007",1.34%,EUR,0.26,9866.85,0,0,103.00,2,95.79,0.22%
BC-Performance Max-D-Deeskalation,Enabled,Performance Max,"32,041","3,283,286",0.98%,EUR,0.16,5173.63,0,0,36.75,0,140.79,0.08%
BK-SN-D-Conmax,Enabled,Search,"28,574","298,355",9.58%,EUR,6.95,198492.25,44.46%,80.16%,379.72,0,522.73,1.33%
NDT-PerfomanceMax-Leads-D,Enabled,Performance Max,"21,463","1,495,053",1.44%,EUR,0.56,12037.59,0,0,47.09,5,255.63,0.04%
BC-Performance Max-Leads-NL,Enabled,Performance Max,"20,519","2,269,563",0.90%,EUR,0.28,5753.57,0,0,93.94,0,61.25,0.16%
BC-Performance Max-Leads-D,Enabled,Performance Max,"18,038","1,040,646",1.73%,EUR,0.62,11268.07,0,0,87.13,7,129.32,0.27%
BC-SN-D -Conmax,Enabled,Search,"16,716","446,708",3.74%,EUR,1.77,29523.85,48.83%,63.68%,171.13,0,172.52,1.02%
NDT - Video - Mehr Conversions - 2023-11-15,Removed,Video,"10,573","224,928",4.70%,EUR,0.02,208.46,0,0,1.00,0,208.46,0.00%
BK-SN-D[BÜ]-Conmax,Paused,Search,"9,199","83,013",11.08%,EUR,0.74,6802.09,13.86%,56.64%,97.00,0,70.12,1.05%
BK-SN-NL,Enabled,Search,"7,370","52,646",14.00%,EUR,4.73,34833.95,67.09%,86.72%,56.00,0,622.03,0.76%
NDT-SN-D,Enabled,Search,"5,504","64,268",8.56%,EUR,5.04,27712.90,54.17%,83.78%,55.00,0,503.87,1.00%
BK-DYN-D,Paused,Search,"4,516","35,796",12.62%,EUR,1.97,8880.13,62.55%,92.18%,45.66,0,194.50,1.01%
NC-SN-D-Conmax,Enabled,Search,"3,365","18,760",17.94%,EUR,2.22,7484.14,90.25%,90.69%,29.00,0,258.07,0.86%
BC-SN-D[SI]-Conmax,Paused,Search,"2,482","44,277",5.61%,EUR,2.90,7192.14,52.78%,63.89%,35.00,0,205.49,1.41%
BC-DA-D-Impressionen,Enabled,Display,"2,393","2,826,439",0.08%,EUR,1.73,4146.35,0,0,0.00,0,0,0.00%
NDT-Remarketing-DE-Showevent-Scanexpress,Paused,Display,"2,089","301,473",0.69%,EUR,0.17,360.44,0,0,0.00,0,0,0.00%
NDT-SN-EU -Conmax,Enabled,Search,"1,946","30,349",6.41%,EUR,5.62,10933.19,60.28%,81.92%,9.00,0,1214.80,0.46%
BK-SN-D[BÜ]-Conmax  Nur Desktop,Enabled,Search,"1,681","15,987",10.51%,EUR,0.41,695.67,14.88%,62.06%,11.00,0,63.24,0.65%
BC-SN-NL -Conmax,Enabled,Search,"1,552","23,228",6.68%,EUR,3.10,4806.37,65.12%,81.17%,11.00,0,436.94,0.71%
BK-SN-D-Conmax Ziel CPA 650€,Enabled,Search,"1,404","7,095",19.79%,EUR,2.30,3230.39,45.43%,78.20%,3.00,0,1076.80,0.21%
NDT-Performance Max-EU-Showevent Scanexpress,Paused,Performance Max,"1,394","57,889",2.41%,EUR,1.02,1425.08,0,0,6.00,1,237.32,0.11%
NDT-SN-Ultraschall-EU,Paused,Search,"1,295","18,978",6.82%,EUR,2.12,2747.90,60.94%,95.14%,2.00,0,1373.95,0.15%
NDT-Performance Max-D-Showevent-Scanexpress,Paused,Performance Max,"1,293","92,178",1.40%,EUR,0.71,919.03,0,0,1.00,0,919.03,0.03%
NDT-SN-EU,Paused,Search,"1,063","18,067",5.88%,EUR,2.78,2959.73,58.57%,86.61%,5.00,0,591.95,0.47%
NDT-SN-Ultraschall-D,Paused,Search,"1,025","12,096",8.47%,EUR,2.35,2411.63,59.50%,92.24%,1.00,0,2411.63,0.10%
NDT-SW-SN-Leads-D,Paused,Search,857,"23,199",3.69%,EUR,2.89,2475.00,32.78%,64.81%,0.00,0,0,0.00%
BC-AT-SN,Paused,Search,628,"10,606",5.92%,EUR,4.38,2750.19,89.90%,93.58%,0.00,0,0,0.00%
BC-DYN-D,Paused,Search,621,"8,399",7.39%,EUR,1.48,921.83,65.61%,82.27%,4.00,0,230.46,0.64%
BK-SN-D-[zeitrafferkamera],Paused,Search,591,"6,127",9.65%,EUR,3.00,1772.16,60.52%,89.01%,1.20,0,1476.80,0.20%
NDT - Video -Mehr Aufrufe erzielen - 2023-09-08,Paused,Video,567,"113,925",0.50%,EUR,0.72,405.75,0,0,0.00,0,0,0.00%
