# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Microvista
# Property: http://www.microvista.de - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260131
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,3615,2523,0.6979253112033195,48.00497925311203,7.390318118948825,26716,1,0.00027662517289073305,0
Direct,2709,1672,0.6172019195275009,45.17386489479513,6.974160206718346,18893,4,0.0014765596160944998,0
Cross-network,2073,1296,0.6251808972503617,42.13699951760733,6.68113844669561,13850,0,0,0
Organic Search,1369,859,0.6274653031409788,48.573411249086924,6.496712929145361,8894,2,0.0014609203798392988,0
Referral,578,263,0.45501730103806226,24.44982698961938,6.050173010380623,3497,2,0.0034602076124567475,0
Paid Social,133,36,0.2706766917293233,5.037593984962406,3.81203007518797,507,0,0,0
Organic Social,64,33,0.515625,41.6875,5.9375,380,0,0,0
Unassigned,48,15,0.3125,41.208333333333336,5.354166666666667,257,0,0,0
Email,45,27,0.6,72.22222222222223,5.377777777777778,242,0,0,0
Display,34,8,0.23529411764705882,5.882352941176471,4.205882352941177,143,0,0,0
Paid Video,28,6,0.21428571428571427,4.428571428571429,3.9285714285714284,110,0,0,0
Paid Other,15,8,0.5333333333333333,4.333333333333333,4.6,69,0,0,0
Organic Video,7,6,0.8571428571428571,54.42857142857143,9.142857142857142,64,0,0,0
Organic Shopping,3,0,0,0,3.3333333333333335,10,0,0,0
