# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: www.netco.de
# Property: NetCo allgemein (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260131
Session source / medium,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
google / cpc,56277,39154,0.6957371572756188,42.16161131545747,6.9177283792668405,389309,973,0.014233168079321925,0
(direct) / (none),32467,20102,0.6191517540887671,47.03449656574368,7.177072103982505,233018,478,0.01081097730002772,0
google / organic,8307,5224,0.6288672204165162,52.62453352594198,7.760683760683761,64468,96,0.009510051763572891,0
bing / organic,3486,2626,0.7532989099254159,63.818703384968444,9.190763052208835,32039,89,0.019219736087205966,0
baustellen-webcams.de / referral,1493,1022,0.6845277963831212,69.38580040187541,12.724715338245144,18998,7,0.004018754186202277,0
(data not available),464,252,0.5431034482758621,26.599137931034484,5.532327586206897,2567,25,0.03879310344827586,0
fb / paid,389,160,0.41131105398457585,11.902313624678664,3.9974293059125965,1555,0,0,0
linkedin.com / referral,355,220,0.6197183098591549,51.861971830985915,8.242253521126761,2926,0,0,0
ntp.msn.com / referral,308,250,0.8116883116883117,53.01623376623377,7.9058441558441555,2435,4,0.012987012987012988,0
microvista.de / referral,293,204,0.6962457337883959,88.77474402730375,8.006825938566553,2346,1,0.0034129692832764505,0
webcam-profi.de / referral,276,180,0.6521739130434783,47.471014492753625,8.21376811594203,2267,1,0.0036231884057971015,0
offline / banner,267,101,0.3782771535580524,23.48314606741573,5.044943820224719,1347,0,0,0
msn.com / referral,209,182,0.8708133971291866,53.44019138755981,7.363636363636363,1539,5,0.014354066985645933,0
de.search.yahoo.com / referral,195,135,0.6923076923076923,61.15384615384615,7.030769230769231,1371,1,0.005128205128205128,0
ig / paid,192,33,0.171875,6.21875,4,768,1,0.005208333333333333,0
(not set),191,11,0.05759162303664921,3626.670157068063,221.27748691099475,42264,3,0.015706806282722512,0
Newsletter / Email,183,135,0.7377049180327869,55.26775956284153,8.901639344262295,1629,3,0.01092896174863388,0
ecosia.org / organic,153,113,0.738562091503268,89.31372549019608,9.15032679738562,1400,4,0.026143790849673203,0
bbd3lno.myrdbx.io / referral,126,102,0.8095238095238095,177.484126984127,26.333333333333332,3318,53,0.2619047619047619,0
art-invest-berlin.webcam-profi.de / referral,119,52,0.4369747899159664,5.663865546218488,3.2184873949579833,383,0,0,0
chatgpt.com / (not set),93,59,0.6344086021505376,72.54838709677419,7.440860215053763,692,6,0.053763440860215055,0
duckduckgo / organic,90,58,0.6444444444444445,53.37777777777778,7.966666666666667,717,4,0.044444444444444446,0
tagassistant.google.com / referral,76,57,0.75,74.9342105263158,18.69736842105263,1421,9,0.05263157894736842,0
welt / presse_ad,72,40,0.5555555555555556,41.65277777777778,7.597222222222222,547,0,0,0
statics.teams.cdn.office.net / referral,69,46,0.6666666666666666,76.3623188405797,6.797101449275362,469,1,0.014492753623188406,0
netco-bodycam.com / referral,65,48,0.7384615384615385,145.1076923076923,18.892307692307693,1228,21,0.18461538461538463,0
LinkedIn / Post,63,32,0.5079365079365079,32.96825396825397,5.920634920634921,373,0,0,0
1424d24q53.webcam-profi.de / referral,62,16,0.25806451612903225,26.56451612903226,3.5806451612903225,222,0,0,0
search.google.com / referral,56,37,0.6607142857142857,49.589285714285715,19.25,1078,1,0.017857142857142856,0
online.seranking.com / referral,47,32,0.6808510638297872,225.19148936170214,23.95744680851064,1126,0,0,0
bvlfd26e.myrdbx.io / referral,46,44,0.9565217391304348,257.7608695652174,30.02173913043478,1381,27,0.34782608695652173,0
facebook / werbeanzeige,42,17,0.40476190476190477,58.5,6.190476190476191,260,0,0,0
officialword.com / referral,40,21,0.525,11,6.35,254,0,0,0
ads.google.com / referral,39,27,0.6923076923076923,46.05128205128205,16.28205128205128,635,8,0.02564102564102564,0
chatgpt.com / referral,36,24,0.6666666666666666,35.69444444444444,6.583333333333333,237,4,0.08333333333333333,0
perplexity.ai / referral,36,17,0.4722222222222222,59.44444444444444,6.138888888888889,221,0,0,0
youtube.com / referral,34,14,0.4117647058823529,32.705882352941174,5.5588235294117645,189,0,0,0
bouwtvplus.nl / referral,31,21,0.6774193548387096,76.06451612903226,10.32258064516129,320,0,0,0
LinkedIn / Beitrag,29,15,0.5172413793103449,80.93103448275862,11.793103448275861,342,0,0,0
app.pressebox.de / referral,29,19,0.6551724137931034,209.41379310344828,13.172413793103448,382,0,0,0
app.vwo.com / referral,27,22,0.8148148148148148,148.4814814814815,23.88888888888889,645,0,0,0
portal2700.webcam-profi.de / referral,27,7,0.25925925925925924,3.4074074074074074,3.8518518518518516,104,0,0,0
CleverReach / email,25,15,0.6,51.52,5.84,146,0,0,0
newapp.etracker.com / referral,23,13,0.5652173913043478,113.30434782608695,20.304347826086957,467,0,0,0
advergy.crm4.dynamics.com / referral,21,20,0.9523809523809523,18.142857142857142,8.238095238095237,173,0,0,0
bbfik6q.myrdbx.io / referral,21,18,0.8571428571428571,173.76190476190476,20.142857142857142,423,5,0.14285714285714285,0
l.instagram.com / referral,21,14,0.6666666666666666,27.904761904761905,7.523809523809524,158,0,0,0
wlw.de / referral,18,13,0.7222222222222222,62.72222222222222,8.222222222222221,148,0,0,0
app.etracker.com / referral,17,9,0.5294117647058824,10.176470588235293,6.529411764705882,111,0,0,0
exhibitors.bauma.de / referral,17,13,0.7647058823529411,16.352941176470587,6,102,0,0,0
3210j25n31.bautvplus.de / referral,16,13,0.8125,27.625,7.5625,121,1,0.0625,0
Newsletter / CleverReach,16,13,0.8125,45.125,9.875,158,0,0,0
2326d24k39.bautvplus.de / referral,15,6,0.4,96.26666666666667,4.666666666666667,70,0,0,0
portal1779.webcam-profi.de / referral,15,6,0.4,46.06666666666667,5.4,81,0,0,0
yahoo / organic,15,14,0.9333333333333333,90.66666666666667,10.2,153,0,0,0
bunniestudios.com / referral,14,12,0.8571428571428571,65.71428571428571,5.071428571428571,71,0,0,0
outlook.live.com / referral,14,12,0.8571428571428571,37.785714285714285,8.428571428571429,118,0,0,0
sicherheit-das-fachmagazin.de / referral,14,14,1,53.5,7.928571428571429,111,0,0,0
zalo / zalo,13,11,0.8461538461538461,20.23076923076923,6.846153846153846,89,0,0,0
stepstone.de / referral,12,10,0.8333333333333334,61.333333333333336,6.333333333333333,76,0,0,0
Postkarte / QR Code,11,3,0.2727272727272727,8.454545454545455,4.090909090909091,45,0,0,0
dec-excel.officeapps.live.com / referral,11,8,0.7272727272727273,34.27272727272727,13.818181818181818,152,0,0,0
intranet.rut.local / referral,11,7,0.6363636363636364,11.272727272727273,5.181818181818182,57,0,0,0
kepler-chemnitz.de / referral,11,8,0.7272727272727273,64.81818181818181,6,66,0,0,0
l.facebook.com / referral,11,8,0.7272727272727273,38.81818181818182,8.727272727272727,96,0,0,0
mittelrheinbahn.de / referral,11,9,0.8181818181818182,47.63636363636363,8.454545454545455,93,0,0,0
startpage.com / referral,11,9,0.8181818181818182,169.36363636363637,8.818181818181818,97,0,0,0
stellenanzeigen.de / referral,11,8,0.7272727272727273,31.181818181818183,6.363636363636363,70,0,0,0
portal2455.webcam-profi.de / referral,10,6,0.6,22.7,6.3,63,0,0,0
suche.t-online.de / referral,10,8,0.8,250.8,9.3,93,0,0,0
LinkedIn / (not set),9,3,0.3333333333333333,8.333333333333334,4.222222222222222,38,0,0,0
ams.stellenpakete.de / referral,9,8,0.8888888888888888,7.555555555555555,6.777777777777778,61,0,0,0
at.search.yahoo.com / referral,9,6,0.6666666666666666,26,6,54,0,0,0
ch.search.yahoo.com / referral,9,7,0.7777777777777778,127,9.11111111111111,82,0,0,0
mobile-ct.eu / referral,9,7,0.7777777777777778,188.55555555555554,14.444444444444445,130,0,0,0
netcops.sharepoint.com / referral,9,5,0.5555555555555556,30.555555555555557,7,63,0,0,0
perplexity / (not set),9,6,0.6666666666666666,30.444444444444443,6.555555555555555,59,1,0.1111111111111111,0
afterdarkmode.com / referral,8,6,0.75,77,10.875,87,0,0,0
mail.google.com / referral,8,5,0.625,60,11.625,93,0,0,0
ui.ads.microsoft.com / referral,8,7,0.875,151.375,29.625,237,0,0,0
3924g25m47.bautvplus.de / referral,7,0,0,2.142857142857143,3.7142857142857144,26,0,0,0
LinkedIn / referral,7,5,0.7142857142857143,1.2857142857142858,5.285714285714286,37,0,0,0
edgeservices.bing.com / referral,7,5,0.7142857142857143,33.42857142857143,9.571428571428571,67,0,0,0
m.facebook.com / referral,7,3,0.42857142857142855,1.1428571428571428,4,28,0,0,0
netco.de / referral,7,5,0.7142857142857143,103.42857142857143,20.571428571428573,144,0,0,0
portal2207.webcam-profi.de / referral,7,4,0.5714285714285714,109.57142857142857,7.428571428571429,52,0,0,0
portal2760.webcam-profi.de / referral,7,5,0.7142857142857143,40.285714285714285,9.142857142857142,64,0,0,0
visitenkarte / sabine fricke,7,2,0.2857142857142857,28.285714285714285,4.142857142857143,29,0,0,0
yourfirm.de / referral,7,4,0.5714285714285714,29.428571428571427,6,42,0,0,0
5513e25j40.bautvplus.de / referral,6,3,0.5,42.5,6.333333333333333,38,0,0,0
Fahrzeug / QRCode,6,2,0.3333333333333333,10,3.5,21,0,0,0
Newsletter / LinkedIn,6,4,0.6666666666666666,27.5,6.333333333333333,38,0,0,0
ezafterdark.com / referral,6,3,0.5,14.333333333333334,4.333333333333333,26,0,0,0
monster.de / referral,6,4,0.6666666666666666,156.66666666666666,5.833333333333333,35,0,0,0
portal2681.webcam-profi.de / referral,6,3,0.5,8.5,3.6666666666666665,22,0,0,0
seo-revolution.com / referral,6,4,0.6666666666666666,153.16666666666666,19.166666666666668,115,0,0,0
3207a25o22.bautvplus.de / referral,5,2,0.4,20.4,4.2,21,0,0,0
3506k24p52.bautvplus.de / referral,5,2,0.4,39.2,4.8,24,0,0,0
5.75.162.157 / referral,5,4,0.8,47.2,10.2,51,0,0,0
Save The Date Karten / Print,5,4,0.8,93.2,5.6,28,0,0,0
canva.com / referral,5,3,0.6,20.4,9.4,47,0,0,0
crm.wolf-of-seo.de / referral,5,1,0.2,78.4,3,15,0,0,0
handelsblatt / presse_ad,5,3,0.6,20,6.4,32,0,0,0
lm.facebook.com / referral,5,4,0.8,68.8,4.8,24,0,0,0
moritzbauer.com / referral,5,4,0.8,115.6,31.4,157,0,0,0
persona4.lightning.force.com / referral,5,3,0.6,27.4,6.4,32,0,0,0
polizeinews.ch / referral,5,3,0.6,31.6,4.8,24,0,0,0
portal23456.webcam-profi.de / referral,5,0,0,0,2.8,14,0,0,0
portal2437.webcam-profi.de / referral,5,3,0.6,22,5.2,26,0,0,0
portal2809.webcam-profi.de / referral,5,1,0.2,8.6,4,20,0,0,0
pressebox.de / referral,5,2,0.4,106.6,5.4,27,0,0,0
prtal2623.webcam-profi.de / referral,5,3,0.6,11,5.6,28,0,0,0
pundc_messe / rollup,5,2,0.4,6,4.2,21,0,0,0
related.investorfocus.net / referral,5,5,1,28.2,9.2,46,0,0,0
suche.web.de / referral,5,2,0.4,4.8,4.2,21,0,0,0
system.visiqs.com / referral,5,4,0.8,25.6,6.6,33,0,0,0
1908h25o58.bautvplus.de / referral,4,2,0.5,38,5,20,0,0,0
318659.seu2.cleverreach.com / referral,4,2,0.5,11,6.5,26,0,0,0
BfV / Eintrittskarte,4,1,0.25,1.25,3,12,0,0,0
conxai.com / referral,4,3,0.75,15.5,5.25,21,0,0,0
crm.muve.de / referral,4,2,0.5,2.5,4,16,0,0,0
extern4.ifv.de / referral,4,4,1,26.25,9,36,0,0,0
ig / social,4,2,0.5,7.75,4.75,19,0,0,0
imasdk.googleapis.com / referral,4,4,1,55,11.75,47,0,0,0
portal2587.webcam-profi.de / referral,4,3,0.75,64,11.5,46,0,0,0
qwant.com / organic,4,3,0.75,25.25,7,28,0,0,0
yandex.ru / referral,4,3,0.75,159.75,9.25,37,0,0,0
1717j25n39.bautvplus.de / referral,3,1,0.3333333333333333,2.3333333333333335,4.333333333333333,13,0,0,0
1722g25o12.bautvplus.de / referral,3,2,0.6666666666666666,61.666666666666664,4,12,2,0.6666666666666666,0
1910a25j41.bautvplus.de / referral,3,3,1,22,5,15,0,0,0
2727h24k32.bautvplus.de / referral,3,0,0,0,2.6666666666666665,8,0,0,0
4020a25o31.bautvplus.de / referral,3,1,0.3333333333333333,9.333333333333334,4.666666666666667,14,0,0,0
473579261.keywordblocks.com / referral,3,0,0,1,3.3333333333333335,10,0,0,0
Baustelle lokal / NetConnect Aufkleber,3,1,0.3333333333333333,24.666666666666668,4.333333333333333,13,1,0.3333333333333333,0
Save-The-Date-Karten / Print,3,2,0.6666666666666666,58.333333333333336,5,15,0,0,0
assets.vlitag.com / referral,3,2,0.6666666666666666,3.3333333333333335,4.333333333333333,13,0,0,0
bdsw.de / referral,3,2,0.6666666666666666,92,23,69,0,0,0
benchmarkinternational.lightning.force.com / referral,3,1,0.3333333333333333,7,2.6666666666666665,8,0,0,0
cam.webcam-profi.de / referral,3,3,1,47,16.666666666666668,50,0,0,0
de.indeed.com / referral,3,3,1,28.333333333333332,8.666666666666666,26,0,0,0
de.sistrix.com / referral,3,3,1,48,14.333333333333334,43,0,0,0
dersicherheitsdienst.de / referral,3,2,0.6666666666666666,28,6,18,0,0,0
good-search.org / referral,3,3,1,105.33333333333333,12.666666666666666,38,0,0,0
handelsblatt.com / referral,3,2,0.6666666666666666,27.333333333333332,5.666666666666667,17,0,0,0
implisense.com / referral,3,1,0.3333333333333333,32,9.333333333333334,28,0,0,0
isearch.start.fyi / referral,3,1,0.3333333333333333,14.666666666666666,5.333333333333333,16,0,0,0
jobninja.com / referral,3,2,0.6666666666666666,106.66666666666667,6,18,0,0,0
linkedin / linkedin-post,3,1,0.3333333333333333,27.333333333333332,4.333333333333333,13,0,0,0
linktr.ee / referral,3,1,0.3333333333333333,0.6666666666666666,3,9,0,0,0
login.microsoftonline.com / referral,3,2,0.6666666666666666,34.666666666666664,5,15,0,0,0
my.website-editor.net / referral,3,2,0.6666666666666666,15,4,12,0,0,0
northdata.de / referral,3,2,0.6666666666666666,25.333333333333332,8.666666666666666,26,0,0,0
personalwerk.personalwerk.de / referral,3,3,1,33,8,24,0,0,0
personalwerk.prd.personalwerk.de / referral,3,3,1,6,7.333333333333333,22,0,0,0
portaenl2746.webcam-profi.de / referral,3,1,0.3333333333333333,5.333333333333333,4,12,0,0,0
portal.webcam-profi.de / referral,3,1,0.3333333333333333,22.333333333333332,6,18,0,0,0
portal2002.webcam-profi.de / referral,3,2,0.6666666666666666,3.6666666666666665,12.666666666666666,38,0,0,0
portal2522.webcam-profi.de / referral,3,3,1,5.666666666666667,8,24,0,0,0
portal2578.webcam-profi.de / referral,3,1,0.3333333333333333,55.666666666666664,3,9,0,0,0
portal2592.webcam-profi.de / referral,3,2,0.6666666666666666,35.666666666666664,11,33,0,0,0
portal2636.webcam-profi.de / referral,3,2,0.6666666666666666,31.666666666666668,12.666666666666666,38,0,0,0
portal2649.webcam-profi.de / referral,3,2,0.6666666666666666,16.666666666666668,6.666666666666667,20,0,0,0
portal2706.webcam-profi.de / referral,3,3,1,43.666666666666664,6.666666666666667,20,0,0,0
portal2819.webcam-profi.de / referral,3,2,0.6666666666666666,72.33333333333333,5.666666666666667,17,0,0,0
search.searchgenius.co / referral,3,0,0,0.6666666666666666,3.6666666666666665,11,0,0,0
spin.de / referral,3,2,0.6666666666666666,16.666666666666668,4.666666666666667,14,0,0,0
suche.aol.de / referral,3,3,1,11.333333333333334,5.666666666666667,17,0,0,0
xing.com / (not set),3,1,0.3333333333333333,17,5,15,0,0,0
0321e25o04.bautvplus.de / referral,2,0,0,2.5,4.5,9,0,0,0
2613e25i20.bautvplus.de / referral,2,0,0,1.5,3.5,7,0,0,0
265159139.keywordblocks.com / referral,2,0,0,2,3.5,7,0,0,0
2813a25l30.bautvplus.de / referral,2,1,0.5,1,3,6,0,0,0
3619b25k58.bautvplus.de / referral,2,0,0,3,3,6,0,0,0
4006h25n07.bautvplus.de / referral,2,2,1,17,6.5,13,0,0,0
4009l25m55.bautvplus.de / referral,2,0,0,3,2.5,5,0,0,0
5307b25k05.bautvplus.de / referral,2,2,1,43.5,10,20,2,1,0
5718i25o20.bautvplus.de / referral,2,1,0.5,205.5,9.5,19,0,0,0
5928c25o38.bautvplus.de / referral,2,2,1,99.5,7,14,0,0,0
accounts.google.com / referral,2,1,0.5,490,8,16,0,0,0
backend.dtad.de / referral,2,1,0.5,13,8.5,17,0,0,0
bauenundsanieren.net / referral,2,2,1,73.5,5,10,0,0,0
beta.smart.onoffice.de / referral,2,1,0.5,7.5,4.5,9,0,0,0
bosnet.crm4.dynamics.com / referral,2,0,0,0,3,6,0,0,0
copilot.com / (not set),2,1,0.5,46,9.5,19,0,0,0
copilot.microsoft.com / referral,2,2,1,7,6.5,13,0,0,0
cornelius-ober-gmbh.odoo.com / referral,2,0,0,0,3,6,0,0,0
crm.dnhkonline.org / referral,2,2,1,7.5,7,14,0,0,0
dashboard.lusha.com / referral,2,2,1,14.5,8,16,0,0,0
deref-gmx.net / referral,2,2,1,379.5,18.5,37,0,0,0
deutscherpresseindex.de / referral,2,0,0,0.5,4.5,9,0,0,0
