,Sachkonten - Buchungen,,,,,,,,,,,
,,,,,,,,,,,,
,Gesendet um: ,09.02.2026 11:08:24 CET,,,,,,,,,,
,Daten benutzerbasiert: ,Thomas Gottschalk,,,,,,,,,,
,Berechtigungskontext: ,* (Keine Einschränkungen),,,,,,,,,,
,,,,,,,,,,,,
,Selektion:,,,,,,,,,,,
,Unternehmen,3 (Microvista GmbH),,,,,,,,,,
,Rechnungslegungswerk,4010 (HGB),,,,,,,,,,
,Buchungsperiode/-jahr,001.2024; 002.2024; 003.2024; 004.2024; 005.2024; 006.2024; 007.2024; 008.2024; 009.2024; 010.2024; 011.2024; 012.2024,,,,,,,,,,
,Sachkonto,460100 (Messekosten); 461000 (Werbekosten),,,,,,,,,,
,Anzeigewährung - Umrechnungsdatum,Heute - 09.02.2026,,,,,,,,,,
,,,,,,,,,,,,
,Sachkonto,,Buchungsdatum,Buchungsbeleg,Buchungsbelegposition,Positionstext,Kreditorgeschäftspartner,,Buchungsbelegart,Sollbetrag in Hauswährung,Habenbetrag in Hauswährung,
,461000,Werbekosten,31.12.2024,92,16,PresseBox Ticketpaket 31.10.-31.12.2025,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,239.29 EUR,,
,461000,Werbekosten,31.12.2024,107,8,Elementor Pro Advanced 14.6.24-13.6.25,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,21.56 EUR,,
,461000,Werbekosten,31.12.2024,108,2,Sales Navigartor Core 6.3.24-6.3.25 JW,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,637.20 EUR,,
,461000,Werbekosten,31.12.2024,109,2,Sales Navigartor Core 6.3.24-6.3.25 JW,#,Nicht zugeordnet,Storno manuelle Buchung - Erfassg.beleg,,637.20 EUR,
,461000,Werbekosten,31.12.2024,110,2,Sales Navigartor Core 6.3.24-6.3.25 JW,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,637.20 EUR,,
,461000,Werbekosten,31.12.2024,200000000688,21,Google Ads 12/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,765.07 EUR",,
,461000,Werbekosten,31.12.2024,200000000707,4,Elementor Pro Advanced 14.6.24-13.6.25,2,NetCo Professional Services GmbH,Lieferantenrechnung,50.97 EUR,,
,461000,Werbekosten,31.12.2024,220000000018,3,GS Storno ER6245 Video Editing,2,NetCo Professional Services GmbH,Lieferantengutschrift,,33.26 EUR,
,461000,Werbekosten,30.11.2024,84,16,PresseBox Ticketpaket 31.10.-31.12.2025,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,239.29 EUR,,
,461000,Werbekosten,30.11.2024,200000000625,16,Google Ads 11/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"2,112.77 EUR",,
,461000,Werbekosten,31.10.2024,78,16,PresseBox Ticketpaket 31.10.-31.12.2025,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,239.29 EUR,,
,461000,Werbekosten,31.10.2024,200000000558,19,Google Ads 10/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"2,165.23 EUR",,
,461000,Werbekosten,30.09.2024,200000000487,19,Google Ads 09/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"2,089.11 EUR",,
,461000,Werbekosten,31.08.2024,200000000449,13,Google Ads 08/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,975.98 EUR",,
,461000,Werbekosten,31.07.2024,200000000369,19,Google Ads 07/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,733.74 EUR",,
,461000,Werbekosten,30.06.2024,200000000262,3,Textilbeschriftung,1010075,ReklameWerkstatt,Lieferantenrechnung,100.00 EUR,,
,461000,Werbekosten,30.06.2024,200000000268,18,Google Ads 06/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,552.11 EUR",,
,461000,Werbekosten,31.05.2024,42,18,Content-Marketing 04/2024-03/2025,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,67.88 EUR,,
,461000,Werbekosten,31.05.2024,200000000217,17,Google Ads 05/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,770.24 EUR",,
,461000,Werbekosten,30.04.2024,27,1,UB Content-Marketing 2025,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,,90.50 EUR,
,461000,Werbekosten,30.04.2024,200000000154,7,Content-Marketing,2,NetCo Professional Services GmbH,Lieferantenrechnung,362.00 EUR,,
,461000,Werbekosten,30.04.2024,200000000154,13,Google Ads 04/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,889.22 EUR",,
,461000,Werbekosten,29.03.2024,200000000112,3,Google Ads 03/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,566.03 EUR",,
,461000,Werbekosten,29.02.2024,200000000066,3,Google Ads 02/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,332.70 EUR",,
,461000,Werbekosten,31.01.2024,200000000034,8,Google Ads 01/2024,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,005.16 EUR",,
,Ergebnis,,,,,,,,,"23,552.04 EUR",760.96 EUR,
